employee_code,work_year,experience_cate,employment_cate,category,job_title,salary_in_usd,remote_ratio,company_cate,company_loc,employee_loc,work_for_home
b822ee63,2023,senior-level,full_time,Data Analyst,Data Analyst,90000,100,medium,United States,United States,Yes
304fafac,2023,mid-level,full_time,AI,Machine Learning Engineer,90000,0,medium,United States,United States,Yes
3219fcda,2023,mid-level,full_time,Data Scientist,Data Scientist,97171,0,medium,Ireland,Ireland,Yes
2e39dfe2,2023,mid-level,full_time,Data Scientist,Data Scientist,110736,0,medium,United Kingdom,United Kingdom,Yes
c0d2988a,2023,entry-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
5ce980d5,2023,mid-level,full_time,Data Engineer,Data Engineer,90000,100,medium,United States,United States,Yes
9a176801,2023,mid-level,full_time,Data Engineer,Data Engineer,90000,100,medium,United States,United States,Yes
01c50c7f,2023,senior-level,full_time,AI,Applied Machine Learning Scientist,90000,100,large,United States,United States,Yes
fdec0a7e,2023,mid-level,full_time,Data Scientist,Data Science Consultant,90000,0,medium,United States,United States,Yes
a7609e95,2023,entry-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
cdc88a5f,2023,senior-level,full_time,Data Analyst,Data Analyst,90000,100,medium,United States,United States,Yes
2710dd7a,2023,senior-level,full_time,Data Managers,Data Science Manager,90000,100,medium,Mexico,Mexico,Yes
29495a41,2023,senior-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
e70219a1,2023,senior-level,full_time,AI,Machine Learning Software Engineer,90000,0,medium,United States,United States,Yes
c5bb7b35,2023,mid-level,full_time,Data Analyst,Data Analyst,110736,0,medium,Croatia,Croatia,Yes
d2f1d9e0,2023,mid-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
351789b4,2023,mid-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
dbdd18e0,2023,mid-level,full_time,Data Analyst,Data Analyst,110736,0,medium,United Kingdom,United Kingdom,Yes
